,id,name,kind,email,phone,description,status
0,e22ccf5d94bc43c0a87e330bb0e0c282,Company Lee-Maxwell,Chemistry,company_lee-maxwell@pymes.com,1555711854,sT2zugkvXbqxSCSlVqrU,Inactive
1,34d693c17d4d4008bda3580d4063d2b0,"Company Smith, Alvarez and Nichols",na,"company_smith,@pymes.com",1018404121,82PPNy48NgZe9l2vNogd,Inactive
2,ed63e55df4bf4aa2b91c8711c489b53b,Company Dominguez PLC,na,company_dominguez@pymes.com,4032586756,lt3tChn4bDhp8V2pOx4U,Active
3,7f9a4a86621143a8b284168725050a7e,Company Gibson PLC,Electronics,company_gibson@pymes.com,1618389551,0M9vwaroyyHzYDM1rNST,Active
4,8e4bf98faaea45eb9f32028bd7857710,Company Phillips-Lawson,na,company.phillips-lawson@pymes.com,4014629572,38RD66bxURCJPwKWfeWf,Inactive
5,5233b31693134b9090c4aa940daaf010,Company Baker-Stark,na,company.baker-stark@pymes.com,8124807384,zQjs5BRRAWG99iFOSdQ5,Active
6,c91d56f89fde4268ac91aa26a16eb661,Company Campbell Group,Electronics,company.campbell@pymes.com,7313950389,uqbDwUCrgSJ6y1h0FCcp,Inactive
7,833e75b8c26f4363ac3db4d92e68268b,"Company Brewer, Lewis and Bolton",Chemistry,"company_brewer,@pymes.com",4183199790,XhqYM0vHuesu0vXYRjIr,Inactive
8,e05b7ee9d2004f938cc787bbeee34125,Company Bond-Davis,Electronics,company.bond-davis@pymes.com,8370112242,Q94LCqlxwhRjDTmT7AUv,Inactive
9,fac6b716f2c8493e852a6e78f261f693,"Company Moore, Jefferson and White",na,"company.moore,@pymes.com",0389655785,UtIl6hG6edTdzQyYfZ6j,Inactive
10,2918bc6f0746401aaa8df253d68008ab,Company Taylor-Osborne,Electronics,company_taylor-osborne@pymes.com,7054307333,PeJSwwHyuAehEh7sgGX5,Active
11,57c3791b8d3e4030804b62b7633b6cad,"Company Davies, Bishop and Taylor",Electronics,"company.davies,@pymes.com",1809624081,AknIrnQlho7ZyBkajSIP,Inactive
12,24387277b67b4c6bb480a8fcbd6b1810,Company Harmon Group,Chemistry,company_harmon@pymes.com,4381085540,Z2LG2x3XNWqojFeqAJdh,Active
13,d92e0f2df8764a03b642fe0d077e14cc,Company Williams Ltd,Electronics,company.williams@pymes.com,7256538493,8MqxI7wIAuxhh1LEjyVE,Inactive
14,552a37ac064b459fb5f31e7618d8eeb2,Company Scott PLC,Electronics,company_scott@pymes.com,2931203558,FcjaDyecIJlWD6rhLZG5,Active
15,52ec93695c0040a3a4c9db1d384965a4,"Company Velasquez, Briggs and Sheppard",Electronics,"company.velasquez,@pymes.com",3598602757,M2bWW7f8vfIbFZljkkJz,Inactive
16,12a15e6abfe043109c1ef7aab889d3ed,Company Bailey-Bailey,Electronics,company_bailey-bailey@pymes.com,2180302519,knePuBhHc40Nzs791XXR,Inactive
17,32bcfe93dd7646fba79d681ef1893b79,Company Flores Group,Electronics,company_flores@pymes.com,7954960145,xYhAjYkmO9ibUd8imNau,Active
18,94d463173c8f4abd9085e534f9836497,Company Reed PLC,Chemistry,company_reed@pymes.com,5314525259,OPdjlOQ2bLJHfMlRUrzt,Inactive
19,34a09562674d48638827927575a7dfe5,Company Flores and Sons,na,company.flores@pymes.com,7663753773,RSjCIq8t0WM74zzvHnFC,Inactive
20,12caca5106804308b7f92b07e2ddf2fd,Company Whitney-Marks,Chemistry,company_whitney-marks@pymes.com,7145043189,XUcVnDMzfQWRFPX9xmnf,Inactive
21,be3ad619bd4c49e69adc1b955ad6c2ca,Company Rodriguez Ltd,na,company_rodriguez@pymes.com,3590624323,QuM4o9sgLXAvZktkzA09,Inactive
22,91d6f0ff11e441e0a20fc4b3039623f7,Company Gomez-Hall,na,company_gomez-hall@pymes.com,6499445048,qqrF4eyYzrcgoSMOLufV,Active
23,f8ddba724c1442b98eb50d13f00f5e4b,Company Ray Inc,Chemistry,company.ray@pymes.com,7849763010,HoL41v1wQmYwy0NG1qo9,Inactive
24,6b17ae7061aa427eae69c166d589a004,"Company Grant, Miller and Knight",na,"company.grant,@pymes.com",6999950102,58sdq0N02ACZOWZOjtxn,Inactive
25,b9709daa503d40b1842caa52011e39bf,"Company Garcia, Lucas and White",na,"company_garcia,@pymes.com",3921479363,V4cF8IxxkHdfGxovhSh9,Active
26,cdf1bffc8bd84aaaa1e18aba8a7a80ac,Company Roy-Morgan,Chemistry,company.roy-morgan@pymes.com,3362175298,FaQNoV28Pf6QPgnL1IKX,Active
27,5ea3bfa05f1f49499924550d1034ad96,Company Smith Ltd,na,company_smith@pymes.com,6324480619,1ZUC1f3VRWZb4GoxW6xH,Inactive
28,bb11e51bb2444ae68066eda7ae5fdbcb,"Company Dickerson, Robinson and Alexander",na,"company_dickerson,@pymes.com",8966787179,IAYAGZcaziYX6uJ5Ak0y,Inactive
29,e1eddbeb6d0b44d0996fd432e7c13eb3,"Company Guzman, Green and Weeks",Chemistry,"company_guzman,@pymes.com",7776303339,06OZezQi4CuwxVL2aEwr,Inactive
30,bde72ff1153344d2b8c2a0847de59c57,Company Howard-Roberts,Chemistry,company.howard-roberts@pymes.com,8803656173,uXMBqcQvsqz4BMU4nikq,Active
31,0e89df5a1963497cb6472a8b8c73a963,Company Jackson LLC,Electronics,company_jackson@pymes.com,4920474085,hmUvRHzf3MyDkyjxna4Y,Active
32,c071b745d4e644e38763718247c8d4f1,"Company Rasmussen, Johnson and Mcdowell",Electronics,"company_rasmussen,@pymes.com",6478305120,0qyDOQWkMCwj6TDsVAzO,Inactive
33,7adc4d83c72f45a1873f00580b27375d,"Company Ward, Koch and Brown",Electronics,"company.ward,@pymes.com",5005306590,arg1Ip9HYduwN2v6RRri,Inactive
34,9e2245c4936c4201ab7054132bbfb42e,Company Garcia-Perez,na,company.garcia-perez@pymes.com,2675288695,toEcEN4nvlFxkExT5KgC,Active
35,08a758e66e3447498a27b0888da94725,Company Frank-Mendoza,Chemistry,company_frank-mendoza@pymes.com,2272641164,5oaxIToo0qpk7QdmCn4S,Active
36,9c253f36f5a14f2face0b436d34e6a28,"Company York, Bradford and Arroyo",Chemistry,"company.york,@pymes.com",9869166301,IcqvuN8KKixr5XbPRPvT,Inactive
37,a736672309914e1aa2207fb97ee0ede3,Company Mcclain-Spence,Electronics,company_mcclain-spence@pymes.com,0694233636,ayG9grYMcq1JVtAujHrR,Active
38,fd1be2e1882b431a9420a6f542444674,Company Clark-Howard,Chemistry,company_clark-howard@pymes.com,6123227392,utcXjEhPAoZGfvY5awpM,Inactive
39,73ffbebddbd14dd7b19f640095900507,"Company Montgomery, Perry and Morales",Electronics,"company.montgomery,@pymes.com",2432982947,vP0N6ryM4wSaaO8OQTtE,Inactive
40,ee5154b004be4b2893ea748c4b336468,Company Jackson-Crawford,na,company.jackson-crawford@pymes.com,5457795438,CnmiDITCiyr0wKmONxvF,Active
41,ac393ba3f27141b688a0a67e2b707ecb,Company Guerrero LLC,Chemistry,company.guerrero@pymes.com,0171069915,GEugqaJNZCgaiUWkse2a,Inactive
42,bec6ddfc3c504abfa1bfe8df3fbf942e,"Company Johnson, Moore and Cunningham",Electronics,"company.johnson,@pymes.com",9723788924,1d8WZn1xIe2NZNUFtQla,Inactive
43,35221c0803594485aba85dc4d875c6fc,Company Johnson and Sons,na,company_johnson@pymes.com,4052996906,mS9xcoTY5hSStSBbrIkN,Inactive
44,e6ef66d33ffc45c7a8411e3300a31120,"Company Jackson, Bryant and Wells",Electronics,"company_jackson,@pymes.com",5652903732,Vc4G98BIqEEkV9cggaVV,Active
45,35c46e9cc6624108a5aa8ad37769f9a4,Company Curtis and Sons,na,company_curtis@pymes.com,2048310957,dwF1vvWwlgRD40OzeYvG,Inactive
46,53c79ac838c34aed99a73803bd3945b7,Company Fox-Fletcher,na,company.fox-fletcher@pymes.com,0719081923,kOdJlpo6Rg0Qa1Gi1xhq,Active
47,dc6c533519784a0caabd80545decd693,Company Evans-Ortega,na,company.evans-ortega@pymes.com,6500269865,igjOhPPBg4AavXeq3dG9,Inactive
48,0606c908b67b4973a972ee61d1ea8f15,Company Watkins Group,Electronics,company.watkins@pymes.com,9171076025,kzlCwHDYE58ZPPOA8OQk,Inactive
49,8bede080ac774766b625f4bc2243e95c,"Company Mays, Smith and Price",Chemistry,"company.mays,@pymes.com",6989226577,6xWg6VOgATRVOcQd48kN,Active
50,ed3bbfdd65eb43258160b3aaac08e443,Company Newman Inc,Electronics,company.newman@pymes.com,0988905472,rOKX0TnSNquVMYh0JYav,Inactive
51,8511b47153c148e6ac45edcc7f275492,Company Gordon Group,Chemistry,company_gordon@pymes.com,1433030095,40tEP6e1REEmGADyOiab,Inactive
52,4fb06d60dc5a46929780f1764e465190,Company Dunlap-Rodriguez,na,company.dunlap-rodriguez@pymes.com,4701824441,c1iq91lzcfB6UeQ2poZC,Inactive
53,23603e9ea29e4d7bab303fcb9a43614d,Company Ross-Garrison,Chemistry,company_ross-garrison@pymes.com,6935038028,n63RuGSE625GjTlbJzPz,Inactive
54,a05c4e1a3a2b48008b56ad955ddade44,Company Brown Group,Chemistry,company_brown@pymes.com,6656980356,jGy0ZSobBfJSAULCnQCU,Inactive
55,cc353da81766454bbae0d2b77fc061a1,Company Lee-Hayes,na,company.lee-hayes@pymes.com,8203049366,kkn1cdOk1lO8WCnnhTpk,Active
56,0dc69b2980fd421fa945cbc997dde060,Company Avila PLC,Chemistry,company.avila@pymes.com,5128002848,1qx7XFfveyAY0femn7Ow,Inactive
57,e14f8ae1b74e4d3f983241915f30e2ea,Company Lester-Wilkins,Chemistry,company_lester-wilkins@pymes.com,2006152758,5Atw7yTx4dQlviIpmqVW,Inactive
58,7d91eef0373c4ba0b62b61dacbbc18fa,"Company Wright, Hanson and Garrett",Chemistry,"company_wright,@pymes.com",5577918949,Z8GABrKKDNX72C2kGjA1,Active
59,0e66fe4a52e440d9bfd85362796d1469,Company Keller-Stein,Electronics,company_keller-stein@pymes.com,2660275466,Om1XzavgS3qRaqfY9nGw,Active
60,962af6c6f9c84dc6be596fb189009b7c,"Company Henderson, Mcclure and Walker",na,"company_henderson,@pymes.com",6760922161,7lr9Q8rYIBcRXvnnuFB3,Inactive
61,db757621a3464c1983fa8caa5ebaac52,Company Williams-Cortez,na,company.williams-cortez@pymes.com,4456718556,NUpxPjBsTx7yLDCPfZWv,Inactive
62,06a9e3033ace48e882b993b8d765c345,Company Myers-Sanchez,Electronics,company_myers-sanchez@pymes.com,1728040625,3jPwI6pOemmhJdaqL0mK,Inactive
63,23a56030f3ba45a9822f617ec61e3c8f,Company Deleon-James,na,company_deleon-james@pymes.com,3436273994,EFCwpAZ8sFh4XdpqKVmx,Inactive
64,bade1e9dc543486491a422bc21524691,Company Camacho-Mclean,na,company_camacho-mclean@pymes.com,5240497090,FKmlTSDXwRMGIK5aQMIW,Inactive
65,17d4fc4297e243c4ad965d5be81f892b,Company Jacobs and Sons,Chemistry,company_jacobs@pymes.com,5098650269,dWgu2nsq9NdYiEHLEWbr,Active
