,id,name,kind,institution
0,689ff4e71d93475197ef90dd4dd68601,Component EM167-FAKE,Electronics,DoD
1,f97c4a4a717942a3b4c9bd08b420392b,Component QDA8-FAKE,na,DoD
2,7ce4f6d6a0984988b5961a0cac28ff60,Component VILQ244-FAKE,Chemistry,Nasa
3,fd44c61e8e4a46d6b9170800e7dc20c6,Component II53161-FAKE,na,Nasa
4,0d6d12be01474f889437760c5e6c0963,Component LFVG32369-FAKE,na,Nasa
5,d33c60dd884842b38674061ebe69672b,Component NDC6-FAKE,Electronics,Nasa
6,fc064cfc6818418eac34dbdb0ff71dc9,Component MM75-FAKE,Chemistry,Nasa
7,82c1a611a5aa48ce95a3d0df4558b022,Component HNGZ48-FAKE,Chemistry,Nasa
8,6c2e1f03026441a784d4ea5ac245b189,Component NOT8-FAKE,Electronics,DoD
9,40c2fcbb225d4fabb035295bb4bb7889,Component YHI91837-FAKE,na,Nasa
10,ed5aac3e99ba49b682f4b159bd3b73df,Component LEP2-FAKE,Electronics,DoD
11,70cb2c9334364c7d98054b89a4057ebb,Component HX2-FAKE,Chemistry,Nasa
12,68b7460a0c2748a79ac7b4c7a5c5d2f0,Component OZJQ646-FAKE,na,DoD
13,392995b1fd1246538b2fb8d89b0e298b,Component MWH29-FAKE,Chemistry,DoD
14,fccd14bde2fd42b9bea843d7f7ca5830,Component MB79-FAKE,Chemistry,DoD
15,73f11232f8a949c0999cdb0303d4421d,Component SY535-FAKE,na,DoD
16,9add5805ed1c4c6fa267453d763b70c8,Component GVR5-FAKE,Chemistry,Nasa
17,0a04ab7deb07447dab8f7403073e4d81,Component VU6-FAKE,Chemistry,Nasa
18,31d44ed2e565441b89a0183ffbc1627b,Component KH365-FAKE,na,Nasa
19,ca83195f8dce45f2aaeeac4e375de9a9,Component RFG1-FAKE,na,Nasa
20,3c6749a788c948e7b9888f38661ddbcc,Component QFI65-FAKE,Electronics,DoD
21,d1faba7622494c19b7703dc3f5a4d051,Component ZMKF98-FAKE,na,Nasa
22,c6176284381a49268744090a740f6ce1,Component FHDG129-FAKE,Electronics,DoD
23,673b357f628348dfa669fda6c9656f31,Component JQXE9-FAKE,Electronics,Nasa
24,778b892542214d9db155b70d369351e4,Component PW3-FAKE,na,DoD
25,b0e3a940361443bd8b47bfe7b6ec5aaa,Component NN8-FAKE,na,Nasa
26,8c185c3b4d654d79825a1b0c77e79983,Component YU36-FAKE,Chemistry,DoD
27,3626303f23794e6b9ddc4d4a591fede6,Component RB78-FAKE,Electronics,DoD
28,5d52cf47c660449da7dc00b5e66b4fe0,Component ICWW97-FAKE,Electronics,Nasa
29,23d235713dbf4f8d8778cd359763a7be,Component UL1-FAKE,Chemistry,DoD
30,6053fd47a0ca47e193b7edeed59d5824,Component BPGI95614-FAKE,na,DoD
31,bb87bf4408f7499ba8eecb39fdee9b98,Component CGTF245-FAKE,Chemistry,Nasa
32,f1358ed88a064ddab7044648a9845b78,Component GFPM64-FAKE,na,Nasa
33,76d9cc4bb485416fb6edda4798ec4304,Component YMPC798-FAKE,na,DoD
34,458f331532b446db96ac660055f141e6,Component SZB6183-FAKE,Chemistry,Nasa
35,f33d6f30c0f64d03b564b945d60d60d3,Component KMKX212-FAKE,na,Nasa
36,7da0f4e60cca484ca736f0502ed9817a,Component BMXZ28777-FAKE,Chemistry,DoD
37,39ae42203ca04eedaeb48f25b74f85e3,Component WXTL53789-FAKE,Chemistry,DoD
38,ca279dcbffa04a4f855b10431527ac59,Component LSSV5-FAKE,Chemistry,Nasa
39,1e1f6034ee804b49ae2604cd92fc875d,Component MG45-FAKE,Chemistry,DoD
40,689ecfa5a11f4b0a8d8d31cb2e0d6529,Component HX765-FAKE,Electronics,Nasa
41,d40566df1e89400ebf83cbc1ebb67fff,Component MCZ229-FAKE,na,Nasa
42,a0afb200b7ee46fe877921013e850b3c,Component ABBK3379-FAKE,na,DoD
43,3adc69240a7b48bd9e97b12112cfce44,Component CJAO5-FAKE,Chemistry,Nasa
44,a8061409e5cc4375b0eee7b5119e1ae6,Component CSJ44265-FAKE,Electronics,Nasa
45,b1fa8777f3134833b5bcdfee3eeccc57,Component FIQS86874-FAKE,Chemistry,Nasa
46,a6ce422760524f04ac26355bd919fdfe,Component HCAD61923-FAKE,Electronics,Nasa
47,3f88c14335d7473dab6294ddd815bc84,Component DDW6762-FAKE,Chemistry,DoD
48,34f232542d4e4c9c966d676bb7b816eb,Component WRY4177-FAKE,na,DoD
49,948839238a3c4bbdb3041e04a32e13b9,Component EB48838-FAKE,Electronics,Nasa
50,60e52d39dd1949d6b1737ae74064e6d6,Component IRWM95243-FAKE,na,DoD
51,d741c4632e4341238374391058447512,Component ZRPR36211-FAKE,na,DoD
52,71ec683948224510b24b25e1971d8603,Component RK817-FAKE,Electronics,Nasa
53,4d376869c1ee4a9590444ba75953e0af,Component LGTS9-FAKE,na,DoD
54,9db937d2ce23495fa1b30ef685ca43be,Component IN14179-FAKE,Chemistry,DoD
55,e78ab624b7bb4f579598d3bf3b24258a,Component GL96-FAKE,Electronics,DoD
56,cf1f3ab63aa3418c8638599f8cd60d06,Component JT838-FAKE,Chemistry,Nasa
57,30149eb38fc44d7f879f8c877a982616,Component YBBZ895-FAKE,Chemistry,Nasa
